id,listing_url,host_name,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,calculated_host_listings_count
13760723,https://www.airbnb.com/rooms/13760723,Sanja,North York,Banbury-Don Mills,Entire rental unit,Entire home/apt,154.0,2,1125,t,10,37,67,342,219,Licensed,1
13761273,https://www.airbnb.com/rooms/13761273,Matthew,Toronto,Dovercourt-Wallace Emerson-Junction,Entire rental unit,Entire home/apt,41.0,28,1125,t,0,0,0,0,0,Unlicensed,1
13766876,https://www.airbnb.com/rooms/13766876,Aisha,Scarborough,Highland Creek,Private room in home,Private room,165.0,28,1125,f,0,0,0,0,0,Unlicensed,1
13768961,https://www.airbnb.com/rooms/13768961,Dennis,Toronto,Yonge-Eglinton,Entire condo,Entire home/apt,120.0,30,365,t,0,9,33,282,1,Unlicensed,2
14005067,https://www.airbnb.com/rooms/14005067,Vanessa,Toronto,Church-Yonge Corridor,Entire condo,Entire home/apt,200.0,28,1125,t,0,0,0,0,2,Unlicensed,1
14011682,https://www.airbnb.com/rooms/14011682,Kailee,Toronto,Forest Hill North,Private room in home,Private room,55.0,28,1125,t,0,0,0,0,1,Unlicensed,1
14015984,https://www.airbnb.com/rooms/14015984,Susie,Toronto,Church-Yonge Corridor,Private room in home,Private room,79.0,1,1125,t,2,9,30,264,231,Licensed,3
14025998,https://www.airbnb.com/rooms/14025998,Karen,Toronto,Junction Area,Entire home,Entire home/apt,71.0,28,1125,t,12,17,18,293,110,Licensed,1
13769161,https://www.airbnb.com/rooms/13769161,Maureen,Toronto,High Park North,Private room in rental unit,Private room,54.0,2,7,t,1,1,1,1,339,Licensed,1
14038855,https://www.airbnb.com/rooms/14038855,Jeff,Toronto,Dufferin Grove,Entire rental unit,Entire home/apt,83.0,28,28,t,26,34,58,58,221,Licensed,5
14039955,https://www.airbnb.com/rooms/14039955,Juli,Toronto,Kensington-Chinatown,Entire loft,Entire home/apt,350.0,28,1125,t,17,40,70,159,13,Unlicensed,3
13770273,https://www.airbnb.com/rooms/13770273,Jeff,Toronto,Dufferin Grove,Entire rental unit,Entire home/apt,120.0,28,28,t,2,24,53,53,314,Licensed,5
13770419,https://www.airbnb.com/rooms/13770419,Manuel,North York,Henry Farm,Entire rental unit,Entire home/apt,80.0,28,1125,t,0,0,0,0,2,Unlicensed,1
13771259,https://www.airbnb.com/rooms/13771259,Toronto,Toronto,Waterfront Communities-The Island,Entire rental unit,Entire home/apt,399.0,60,300,t,0,0,0,0,0,Unlicensed,21
13781103,https://www.airbnb.com/rooms/13781103,Paul,Toronto,South Parkdale,Entire rental unit,Entire home/apt,89.0,28,365,t,4,4,11,101,247,Unlicensed,1
14043478,https://www.airbnb.com/rooms/14043478,Paul,Scarborough,L'Amoreaux,Entire guest suite,Entire home/apt,58.0,1,29,t,0,0,0,0,143,Licensed,2
14052026,https://www.airbnb.com/rooms/14052026,Heather,Toronto,Lawrence Park North,Entire rental unit,Entire home/apt,74.0,28,1125,t,0,0,0,0,1,Unlicensed,1
14074043,https://www.airbnb.com/rooms/14074043,Isaac,Toronto,Corso Italia-Davenport,Entire rental unit,Entire home/apt,237.0,3,1125,t,13,43,73,73,12,Licensed,1
13782571,https://www.airbnb.com/rooms/13782571,Tareq,Toronto,Niagara,Private room in condo,Private room,200.0,28,1125,f,0,0,0,0,0,Unlicensed,1
14077923,https://www.airbnb.com/rooms/14077923,Ala,Toronto,Annex,Entire loft,Entire home/apt,323.0,28,30,t,30,44,44,44,52,Unlicensed,7
13783591,https://www.airbnb.com/rooms/13783591,Adelaida,Scarborough,Bendale,Private room in bungalow,Private room,45.0,5,1125,t,0,0,0,262,127,Licensed,3
14084357,https://www.airbnb.com/rooms/14084357,Dino,Toronto,Annex,Entire guest suite,Entire home/apt,109.0,28,60,t,0,0,4,94,68,Unlicensed,1
13783756,https://www.airbnb.com/rooms/13783756,Adelaida,Scarborough,Bendale,Private room in bungalow,Private room,45.0,5,58,t,2,2,2,251,46,Licensed,3
14084782,https://www.airbnb.com/rooms/14084782,Catherine,Toronto,South Riverdale,Entire home,Entire home/apt,299.0,3,90,t,0,1,9,162,47,Licensed,2
13788645,https://www.airbnb.com/rooms/13788645,Jordan,Toronto,Annex,Entire villa,Entire home/apt,5000.0,28,1125,t,28,58,88,363,17,Unlicensed,1
14091426,https://www.airbnb.com/rooms/14091426,Jay,Toronto,Annex,Entire home,Entire home/apt,289.0,28,30,t,0,0,0,0,0,Unlicensed,1
14095037,https://www.airbnb.com/rooms/14095037,Dianne,Toronto,Cabbagetown-South St.James Town,Entire rental unit,Entire home/apt,99.0,28,1125,t,0,0,0,0,14,Unlicensed,1
14101349,https://www.airbnb.com/rooms/14101349,Nathan,Toronto,Church-Yonge Corridor,Private room in rental unit,Private room,59.0,28,1125,t,0,0,0,0,2,Unlicensed,1
14101559,https://www.airbnb.com/rooms/14101559,Lana,North York,Yorkdale-Glen Park,Entire condo,Entire home/apt,150.0,28,1125,t,28,58,88,88,12,Unlicensed,3
14102482,https://www.airbnb.com/rooms/14102482,Jesse,Scarborough,Kennedy Park,Entire home,Entire home/apt,120.0,1,28,t,10,10,10,108,5,Licensed,1
13789538,https://www.airbnb.com/rooms/13789538,Jamie,Toronto,Dufferin Grove,Entire rental unit,Entire home/apt,125.0,28,1125,t,0,0,0,0,9,Unlicensed,1
13797157,https://www.airbnb.com/rooms/13797157,Jonathan,Toronto,Moss Park,Entire loft,Entire home/apt,200.0,28,1125,f,0,0,0,0,6,Unlicensed,1
14105263,https://www.airbnb.com/rooms/14105263,Carmen,Toronto,Moss Park,Entire condo,Entire home/apt,95.0,28,1125,t,0,0,0,0,1,Unlicensed,1
13798532,https://www.airbnb.com/rooms/13798532,Pradeep,Scarborough,Cliffcrest,Private room in home,Private room,50.0,5,365,t,0,6,36,311,71,Licensed,1
13799890,https://www.airbnb.com/rooms/13799890,Jonathan,Toronto,Annex,Entire townhouse,Entire home/apt,900.0,28,365,t,24,54,84,359,4,Unlicensed,1
13811460,https://www.airbnb.com/rooms/13811460,Michael Louis,Toronto,Corso Italia-Davenport,Entire home,Entire home/apt,230.0,28,1125,t,0,0,0,0,2,Unlicensed,1
14106058,https://www.airbnb.com/rooms/14106058,Maria,Toronto,Roncesvalles,Entire guest suite,Entire home/apt,130.0,28,92,t,1,5,7,99,133,Unlicensed,1
14107052,https://www.airbnb.com/rooms/14107052,Max,Etobicoke,Willowridge-Martingrove-Richview,Private room in home,Private room,50.0,28,1125,t,0,0,0,0,0,Unlicensed,1
13814117,https://www.airbnb.com/rooms/13814117,Andrew,Toronto,South Parkdale,Shared room in rental unit,Shared room,39.0,28,122,t,0,0,0,0,0,Unlicensed,1
14111311,https://www.airbnb.com/rooms/14111311,Darlington,North York,Bayview Woods-Steeles,Entire rental unit,Entire home/apt,180.0,28,1125,t,0,0,0,0,0,Unlicensed,1
14118230,https://www.airbnb.com/rooms/14118230,Hyla,Toronto,Palmerston-Little Italy,Entire rental unit,Entire home/apt,117.0,28,1125,t,9,39,69,344,113,Unlicensed,7
13815302,https://www.airbnb.com/rooms/13815302,Helena,Toronto,East End-Danforth,Private room in home,Private room,60.0,2,65,t,0,1,9,276,69,Licensed,1
14118576,https://www.airbnb.com/rooms/14118576,Paul,Toronto,Annex,Entire rental unit,Entire home/apt,123.0,28,1125,t,0,0,0,0,22,Unlicensed,2
14119601,https://www.airbnb.com/rooms/14119601,Pavel,North York,Willowdale East,Entire rental unit,Entire home/apt,165.0,28,1125,t,25,55,85,359,10,Unlicensed,11
13823249,https://www.airbnb.com/rooms/13823249,Ozair,North York,Parkwoods-Donalda,Entire condo,Entire home/apt,99.0,28,1125,t,0,0,0,0,4,Unlicensed,1
14122940,https://www.airbnb.com/rooms/14122940,Fery,North York,Newtonbrook West,Entire home,Entire home/apt,93.0,30,1125,t,6,36,66,66,56,Unlicensed,1
13825593,https://www.airbnb.com/rooms/13825593,Lana,Etobicoke,Elms-Old Rexdale,Private room in bungalow,Private room,40.0,28,100,t,0,20,50,140,181,Unlicensed,1
14125959,https://www.airbnb.com/rooms/14125959,Carmina &  Renato,Etobicoke,Willowridge-Martingrove-Richview,Private room in home,Private room,38.0,30,1125,t,0,5,35,35,16,Unlicensed,4
13826293,https://www.airbnb.com/rooms/13826293,Donnie,Toronto,Trinity-Bellwoods,Private room in home,Private room,145.0,28,1125,t,30,60,90,365,11,Unlicensed,5
14126008,https://www.airbnb.com/rooms/14126008,Clive,Toronto,The Beaches,Entire home,Entire home/apt,300.0,3,180,t,1,7,35,281,40,Licensed,2
14126057,https://www.airbnb.com/rooms/14126057,Oakley,Toronto,Lawrence Park South,Entire rental unit,Entire home/apt,159.0,28,1125,t,2,32,33,211,50,Unlicensed,2
14127357,https://www.airbnb.com/rooms/14127357,Carmina &  Renato,Etobicoke,Willowridge-Martingrove-Richview,Private room in home,Private room,43.0,30,1125,t,16,16,25,300,15,Unlicensed,4
13829332,https://www.airbnb.com/rooms/13829332,Tariq,Toronto,Niagara,Private room in condo,Private room,85.0,28,1125,f,0,0,0,0,10,Unlicensed,1
13830177,https://www.airbnb.com/rooms/13830177,Benjy,Toronto,Woodbine Corridor,Entire home,Entire home/apt,200.0,28,1125,t,0,0,0,0,6,Unlicensed,1
14127375,https://www.airbnb.com/rooms/14127375,Carmina &  Renato,Etobicoke,Willowridge-Martingrove-Richview,Private room in home,Private room,48.0,30,1125,t,0,5,35,35,16,Unlicensed,4
